ააგო	ɑ ɑ ɡ ɔ
სახედ	s ɑ χ ɛ d
სახელად	s ɑ χ ɛ l ɑ d
სახელდობრ	s ɑ χ ɛ l d ɔ b r
სახელი	s ɑ x ɛ l i
სახელით	s ɑ χ ɛ l ɪ tʰ
სახელის	s ɑ χ ɛ l ɪ s
სახელმწიფო	s ɑ x ɛ l m t sʼ i pʰ ɔ
სახელმწიფოდ	s ɑ χ ɛ l m t sʼ ɪ pʰ ɔ d
სახელმწიფომ	s ɑ χ ɛ l m t sʼ ɪ pʰ ɔ m
სახელმწიფოს	s ɑ χ ɛ l m t sʼ ɪ pʰ ɔ s
სახელოსნო	s ɑ x ɛ l ɔ s n ɔ
სახელწოდება	s ɑ χ ɛ l t sʼ ɔ d ɛ b ɑ
სახელწოდებით	s ɑ χ ɛ l t sʼ ɔ d ɛ b ɪ tʰ
სახელწოდების	s ɑ χ ɛ l t sʼ ɔ d ɛ b ɪ s
სახემ	s ɑ χ ɛ m
სახეს	s ɑ χ ɛ s
სახის	s ɑ χ ɪ s
სახლი	s ɑ x l i
სახმელეთო	s ɑ χ m ɛ l ɛ tʰ ɔ
სახუმარო	s ɑ χ u m ɑ r ɔ
საჯარო	s ɑ d ʒ ɑ r ɔ
საჰაერო	s ɑ h ɑ ɛ r ɔ
სეგმენტი	s ɛ ɡ m ɛ n tʼ ɪ
სევდა	s ɛ v d ɑ
სეზონი	s ɛ z ɔ n ɪ
სეიფი	s ɛ ɪ pʰ ɪ
სემინარი	s ɛ m ɪ n ɑ r ɪ
სენატორი	s ɛ n ɑ tʼ ɔ r ɪ
სენიორა	s ɛ n ɪ ɔ r ɑ
სენსაციურად	s ɛ n s ɑ t s ɪ u r ɑ d
სეპარატისტი	s ɛ pʼ ɑ r ɑ tʼ ɪ s tʼ ɪ
სერბეთი	s ɛ r b ɛ tʰ i
სერგი	s ɛ r ɡ i
სერვისი	s ɛ r v ɪ s ɪ
სერიალი	s ɛ r ɪ ɑ l ɪ
სერიოზულად	s ɛ r ɪ ɔ z u l ɑ d
სერფინგი	s ɛ r pʰ ɪ n ɡ ɪ
სესია	s ɛ s ɪ ɑ
სესხი	s ɛ s χ ɪ
სექსუალური	s ɛ kʰ s u ɑ l u r i
სექტა	s ɛ kʰ tʼ ɑ
სექტემბერს	s ɛ kʰ tʼ ɛ m b ɛ r s
სექტორი	s ɛ kʰ tʼ ɔ r i
სექციას	s ɛ kʰ t s ɪ ɑ s
სეხნია	s ɛ χ n ɪ ɑ
სვამს	s v ɑ m s
სვანეთი	s v ɑ n ɛ tʰ i
სველი	s v ɛ l i
სთხოვს	s tʰ x ɔ v s
სია	s ɪ ɑ
სიამაყე	s i ɑ m ɑ qʼ ɛ
სიამოვნებით	s ɪ ɑ m ɔ v n ɛ b ɪ tʰ
სიახლე	s i ɑ x l ɛ
სიგანე	s ɪ ɡ ɑ n ɛ
სიგარა	s ɪ ɡ ɑ r ɑ
სიგნალი	s ɪ ɡ n ɑ l ɪ
სიგრძე	s i ɡ r d z ɛ
სივრცე	s ɪ v r t s ɛ
სიზმარი	s i z m ɑ r i
სითხე	s i tʰ x ɛ
სიკვდილი	s i kʼ v d i l i
სიკვდილის	s ɪ kʼ v d ɪ l ɪ s
სიკვდილს	s ɪ kʼ v d ɪ l s
სილამაზე	s i l ɑ m ɑ z ɛ
სიმაღლე	s i m ɑ ɣ l ɛ
სიმბოლო	s i m b ɔ l ɔ
სიმბოლურად	s ɪ m b ɔ l u r ɑ d
სიმბოლური	s ɪ m b ɔ l u r ɪ
სიმდაბლე	s i m d ɑ b l ɛ
სიმდიდრე	s i m d i d r ɛ
სიმინდი	s i m i n d i
სიმრავლე	s i m r ɑ v l ɛ
სიმღერა	s i m ɣ ɛ r ɑ
სიმღერით	s ɪ m ʁ ɛ r ɪ tʰ
სიმღერის	s ɪ m ʁ ɛ r ɪ s
სიმშვიდე	s i m ʃ v i d ɛ
სიმშრალე	s i m ʃ r ɑ l ɛ
სიმძიმე	s i m d z i m ɛ
სინაგოგა	s ɪ n ɑ ɡ ɔ ɡ ɑ
სინათლე	s i n ɑ tʰ l ɛ
სინამდვილეში	s i n ɑ m d v i l ɛ ʃ i
სინანული	s i n ɑ n u l i
სინატიფე	s i n ɑ tʼ i pʰ ɛ
სინდრომი	s ɪ n d r ɔ m ɪ
სირთულე	s i r tʰ u l ɛ
სირიული	s ɪ r ɪ u l ɪ
სირცხვილი	s i r t s x v i l i
სისასტიკე	s i s ɑ s tʼ i kʼ ɛ
სისტემა	s i s tʼ ɛ m ɑ
სისტემას	s ɪ s tʼ ɛ m ɑ s
სისტემატური	s ɪ s tʼ ɛ m ɑ tʼ u r ɪ
სისტემით	s ɪ s tʼ ɛ m ɪ tʰ
სისტემის	s ɪ s tʼ ɛ m ɪ s
სისულელე	s i s u l ɛ l ɛ
სისუსტე	s i s u s tʼ ɛ
სისქე	s ɪ s kʰ ɛ
სისწრაფე	s i s t sʼ r ɑ pʰ ɛ
სისხლი	s i s x l i
სისხლიანი	s i s x l i ɑ n i
სისხლსავსე	s ɪ s χ l s ɑ v s ɛ
სიტყვა	s i tʼ qʼ v ɑ
სიტყვიერი	s i tʼ qʼ v i ɛ r i
სიუჟეტი	s i u ʒ ɛ tʼ i
სიღარიბე	s i ɣ ɑ r i b ɛ
სიღრმე	s i ɣ r m ɛ
სიყალბე	s i qʼ ɑ l b ɛ
სიყვარული	s i qʼ v ɑ r u l i
სიჩუმე	s i t ʃ u m ɛ
სიჩქარე	s ɪ t ʃ kʰ ɑ r ɛ
სიცარიელე	s i t s ɑ r i ɛ l ɛ
სიცილით	s ɪ t s ɪ l ɪ tʰ
სიცოცხლე	s i t s ɔ t s x l ɛ
სიცრუე	s i t s r u ɛ
სიძულვილი	s i d z u l v i l i
სიჭარბე	s i t ʃʼ ɑ r b ɛ
სიხარული	s i x ɑ r u l i
სკამი	s kʼ ɑ m i
სკანდალი	s kʼ ɑ n d ɑ l ɪ
სკვერი	s kʼ v ɛ r ɪ
სკოლა	s kʼ ɔ l ɑ
სკოლამ	s kʼ ɔ l ɑ m
სკოლას	s kʼ ɔ l ɑ s
სკოლის	s kʼ ɔ l ɪ s
სკუმბრია	s kʼ u m b r ɪ ɑ
სმ	s m
სმა	s m ɑ
სოლიდარობა	s ɔ l ɪ d ɑ r ɔ b ɑ
სოლიდური	s ɔ l ɪ d u r ɪ
სოლისტი	s ɔ l ɪ s tʼ ɪ
სომეხი	s ɔ m ɛ x i
სომხეთი	s ɔ m x ɛ tʰ i
სომხეთის	s ɔ m χ ɛ tʰ ɪ s
სომხეთმა	s ɔ m χ ɛ tʰ m ɑ
სომხეთს	s ɔ m χ ɛ tʰ s
სომხური	s ɔ m x u r i
სონატა	s ɔ n ɑ tʼ ɑ
სოუსი	s ɔ u s ɪ
სოფელს	s ɔ pʰ ɛ l s
სოფლები	s ɔ pʰ l ɛ b ɪ
სოფლის	s ɔ pʰ l ɪ s
სოციალისტი	s ɔ t s ɪ ɑ l ɪ s tʼ ɪ
სოციალისტური	s ɔ t s i ɑ l i s tʼ u r i
სოციალური	s ɔ t s i ɑ l u r i
სოციოლოგიური	s ɔ t s i ɔ l ɔ ɡ i u r i
სოჭი	s ɔ t ʃʼ i
სოხუმი	s ɔ χ u m ɪ
სპეციალისტი	s pʼ ɛ t s ɪ ɑ l ɪ s tʼ ɪ
სპეციალობა	s pʼ ɛ t s ɪ ɑ l ɔ b ɑ
სპეციალურად	s pʼ ɛ t s ɪ ɑ l u r ɑ d
სპეციალური	s pʼ ɛ t s ɪ ɑ l u r ɪ
სპეციფიკური	s pʼ ɛ t s ɪ pʰ ɪ kʼ u r ɪ
სპორადულად	s pʼ ɔ r ɑ d u l ɑ d
სპორტსმენი	s pʼ ɔ r tʼ s m ɛ n ɪ
სპორტული	s pʼ ɔ r tʼ u l ɪ
სრულად	s r u l ɑ d
სრულდება	s r u l d ɛ b ɑ
სრული	s r u l i
სრულყოფილად	s r u l qʼ ɔ pʰ ɪ l ɑ d
სტაბილურად	s tʼ ɑ b ɪ l u r ɑ d
სტაბილურობა	s tʼ ɑ b ɪ l u r ɔ b ɑ
სტადიონი	s tʼ ɑ d ɪ ɔ n ɪ
სტალინი	s tʼ ɑ l ɪ n ɪ
სტამბოლი	s tʼ ɑ m b ɔ l ɪ
სტანდარტული	s tʼ ɑ n d ɑ r tʼ u l ɪ
სტარტი	s tʼ ɑ r tʼ ɪ
სტატია	s tʼ ɑ tʼ i ɑ
სტატიას	s tʼ ɑ tʼ ɪ ɑ s
სტატიები	s tʼ ɑ tʼ ɪ ɛ b ɪ
სტატიის	s tʼ ɑ tʼ ɪ ɪ s
სტატისტიკურად	s tʼ ɑ tʼ ɪ s tʼ ɪ kʼ u r ɑ d
სტატისტიკური	s tʼ ɑ tʼ ɪ s tʼ ɪ kʼ u r ɪ
სტატუსი	s tʼ ɑ tʼ u s ɪ
სტერილური	s tʼ ɛ r ɪ l u r ɪ
სტერლინგი	s tʼ ɛ r l ɪ n ɡ ɪ
სტიქიური	s tʼ i kʰ i u r i
სტკივა	s tʼ kʼ i v ɑ
სტრასბურგი	s tʼ r ɑ s b u r ɡ ɪ
სტრატეგიულად	s tʼ r ɑ tʼ ɛ ɡ ɪ u l ɑ d
სტრატეგიული	s tʼ r ɑ tʼ ɛ ɡ ɪ u l ɪ
სტრონციუმი	s tʼ r ɔ n t s i u m i
სტრუქტურა	s tʼ r u kʰ tʼ u r ɑ
სტუდია	s tʼ u d ɪ ɑ
სტუმრობა	s tʼ u m r ɔ b ɑ
სუ	s u
სუბტროპიკული	s u b tʼ r ɔ pʼ ɪ kʼ u l ɪ
სულ	s u l
სული	s u l i
სულიერად	s u l ɪ ɛ r ɑ d
სულიერი	s u l i ɛ r i
სუნი	s u n i
სუპერმარკეტი	s u pʼ ɛ r m ɑ r kʼ ɛ tʼ i
სურათი	s u r ɑ tʰ i
სურვილი	s u r v ɪ l ɪ
სურვილისამებრ	s u r v ɪ l ɪ s ɑ m ɛ b r
სურნელი	s u r n ɛ l ɪ
სურს	s u r s
სუსტად	s u s tʼ ɑ d
სუსტი	s u s tʼ i
სუფთა	s u pʰ tʰ ɑ
სუფრა	s u pʰ r ɑ
სფერო	s pʰ ɛ r ɔ
სფინქსი	s pʰ ɪ n kʰ s ɪ
სქემატური	s kʰ ɛ m ɑ tʼ u r ɪ
სცენა	s t s ɛ n ɑ
სცილდება	s t s i l d ɛ b ɑ
სწავლება	s t sʼ ɑ v l ɛ b ɑ
სწორად	s t sʼ ɔ r ɑ d
სწორედ	s t sʼ ɔ r ɛ d
სწრაფად	s t sʼ r ɑ pʰ ɑ d
სწრაფი	s t sʼ r ɑ pʰ i
სჭირდება	s t ʃʼ i r d ɛ b ɑ
სხდომა	s x d ɔ m ɑ
სხეული	s x ɛ u l i
სხვა	s x v ɑ
სხვაგვარად	s χ v ɑ ɡ v ɑ r ɑ d
სხვადასხვა	s x v ɑ d ɑ s x v ɑ
სხვათაშორის	s χ v ɑ tʰ ɑ ʃ ɔ r ɪ s
სხვანაირი	s x v ɑ n ɑ i r i
სხვები	s x v ɛ b i
სხვისი	s x v i s i
სჯის	s d ʒ i s
ტალღა	tʼ ɑ l ɣ ɑ
ტანვარჯიში	tʼ ɑ n v ɑ r d ʒ ɪ ʃ ɪ
ტანი	tʼ ɑ n i
ტანინი	tʼ ɑ n ɪ n ɪ
ტანსაცმელი	tʼ ɑ n s ɑ t s m ɛ l i
ტაქტიკა	tʼ ɑ kʰ tʼ ɪ kʼ ɑ
ტაქტიკური	tʼ ɑ kʰ tʼ ɪ kʼ u r ɪ
ტაში	tʼ ɑ ʃ ɪ
ტაძარი	tʼ ɑ d z ɑ r i
ტაძრის	tʼ ɑ d z r ɪ s
ტელევიზია	tʼ ɛ l ɛ v i z i ɑ
ტელეფონი	tʼ ɛ l ɛ pʰ ɔ n ɪ
ტენდენცია	tʼ ɛ n d ɛ n t s ɪ ɑ
ტენორი	tʼ ɛ n ɔ r ɪ
ტერი	tʼ ɛ r ɪ
ტერიტორიული	tʼ ɛ r i tʼ ɔ r i u l i
ტერმინი	tʼ ɛ r m ɪ n ɪ
ტერორი	tʼ ɛ r ɔ r ɪ
ტერორიზმი	tʼ ɛ r ɔ r ɪ z m ɪ
ტერორისტი	tʼ ɛ r ɔ r ɪ s tʼ ɪ
ტექნიკა	tʼ ɛ kʰ n ɪ kʼ ɑ
ტექნიკურად	tʼ ɛ kʰ n ɪ kʼ u r ɑ d
ტექნიკური	tʼ ɛ kʰ n i kʼ u r i
ტექნოლოგია	tʼ ɛ kʰ n ɔ l ɔ ɡ ɪ ɑ
ტექნოლოგიური	tʼ ɛ kʰ n ɔ l ɔ ɡ i u r i
ტექსტი	tʼ ɛ kʰ s tʼ ɪ
ტეხავს	tʼ ɛ χ ɑ v s
ტვინის	tʼ v i n i s
ტილო	tʼ ɪ l ɔ
ტიმი	tʼ ɪ m ɪ
ტიპური	tʼ i pʼ u r i
ტირილი	tʼ i r i l i
ტიტული	tʼ ɪ tʼ u l ɪ
ტიხარი	tʼ ɪ χ ɑ r ɪ
ტკბილი	tʼ kʼ b i l i
ტკივილი	tʼ kʼ i v i l i
ტკივილს	tʼ kʼ ɪ v ɪ l s
ტლანქი	tʼ l ɑ n kʰ i
ტო	tʼ ɔ
ტოკიო	tʼ ɔ kʼ i ɔ
ტოლფასი	tʼ ɔ l pʰ ɑ s ɪ
ტომი	tʼ ɔ m i
ტონა	tʼ ɔ n ɑ
ტონი	tʼ ɔ n ɪ
ტოპოგრაფი	tʼ ɔ pʼ ɔ ɡ r ɑ pʰ ɪ
ტორტი	tʼ ɔ r tʼ ɪ
ტოქსიკური	tʼ ɔ kʰ s ɪ kʼ u r ɪ
ტრაგედია	tʼ r ɑ ɡ ɛ d ɪ ɑ
ტრაგიკულად	tʼ r ɑ ɡ ɪ kʼ u l ɑ d
ტრაგიკული	tʼ r ɑ ɡ ɪ kʼ u l ɪ
ტრადიცია	tʼ r ɑ d ɪ t s ɪ ɑ
ტრადიციულად	tʼ r ɑ d ɪ t s ɪ u l ɑ d
ტრადიციული	tʼ r ɑ d ɪ t s ɪ u l ɪ
ტრაექტორია	tʼ r ɑ ɛ kʰ tʼ ɔ r ɪ ɑ
ტრავმა	tʼ r ɑ v m ɑ
ტრამვაი	tʼ r ɑ m v ɑ i
ტრანსკრიფცია	tʼ r ɑ n s kʼ r ɪ pʰ t s ɪ ɑ
ტრანსპორტი	tʼ r ɑ n s pʼ ɔ r tʼ ɪ
ტრაქტორი	tʼ r ɑ kʰ tʼ ɔ r ɪ
ტრიალებს	tʼ r ɪ ɑ l ɛ b s
ტრილოგია	tʼ r ɪ l ɔ ɡ ɪ ɑ
ტრიუმფი	tʼ r ɪ u m pʰ ɪ
ტუბერკულოზი	tʼ u b ɛ r kʼ u l ɔ z ɪ
ტურიზმი	tʼ u r ɪ z m ɪ
ტურისტი	tʼ u r ɪ s tʼ ɪ
ტურისტული	tʼ u r ɪ s tʼ u l ɪ
ტურნირი	tʼ u r n ɪ r ɪ
ტყე	tʼ qʼ ɛ
ტყემალი	tʼ qʼ ɛ m ɑ l i
ტყვეობა	tʼ qʼ v ɛ ɔ b ɑ
ტყვია	tʼ qʼ v i ɑ
ტყუილი	tʼ qʼ u i l i
უაზრო	u ɑ z r ɔ
უამრავი	u ɑ m r ɑ v ɪ
უანგაროდ	u ɑ n ɡ ɑ r ɔ d
უარესი	u ɑ r ɛ s i
უარყოფა	u ɑ r qʼ ɔ pʰ ɑ
უარყოფითად	u ɑ r qʼ ɔ pʰ ɪ tʰ ɑ d
უარყოფითი	u ɑ r qʼ ɔ pʰ ɪ tʰ ɪ
უახლოესი	u ɑ χ l ɔ ɛ s ɪ
უბედური	u b ɛ d u r i
უბრალო	u b r ɑ l ɔ
უბრალოდ	u b r ɑ l ɔ d
უბრობა	u b r ɔ b ɑ
უგულებელყოფა	u ɡ u l ɛ b ɛ l qʼ ɔ pʰ ɑ
უდავო	u d ɑ v ɔ
უდანაშაულო	u d ɑ n ɑ ʃ ɑ u l ɔ
უდარდელი	u d ɑ r d ɛ l ɪ
უდიდესი	u d ɪ d ɛ s ɪ
უდროო	u d r ɔ ɔ
უეჭველი	u ɛ t ʃʼ v ɛ l i
უზარმაზარი	u z ɑ r m ɑ z ɑ r ɪ
უზენაესი	u z ɛ n ɑ ɛ s i
უზენაესობა	u z ɛ n ɑ ɛ s ɔ b ɑ
უზნეობა	u z n ɛ ɔ b ɑ
უზომოდ	u z ɔ m ɔ d
უზრდელი	u z r d ɛ l ɪ
უზუსტო	u z u s tʼ ɔ
უთენია	u tʰ ɛ n ɪ ɑ
უთო	u tʰ ɔ
უიმედო	u i m ɛ d ɔ
უიმედობა	u ɪ m ɛ d ɔ b ɑ
უიღბლო	u i ɣ b l ɔ
უკანა	u kʼ ɑ n ɑ
უკანასკნელი	u kʼ ɑ n ɑ s kʼ n ɛ l i
უკანონო	u kʼ ɑ n ɔ n ɔ
უკანონოდ	u kʼ ɑ n ɔ n ɔ d
უკაცრავად	u kʼ ɑ t s r ɑ v ɑ d
უკეთესი	u kʼ ɛ tʰ ɛ s ɪ
უკიდურესად	u kʼ ɪ d u r ɛ s ɑ d
უკიდურესი	u kʼ i d u r ɛ s i
უკმარისობა	u kʼ m ɑ r ɪ s ɔ b ɑ
უკრავს	u kʼ r ɑ v s
უკრაინა	u kʼ r ɑ i n ɑ
უკუკავშირი	u kʼ u kʼ ɑ v ʃ ɪ r ɪ
უკუღმა	u kʼ u ʁ m ɑ
ულამაზესი	u l ɑ m ɑ z ɛ s ɪ
ულტიმატუმი	u l tʼ ɪ m ɑ tʼ u m ɪ
უმაღლესი	u m ɑ ɣ l ɛ s i
უმდიდრესი	u m d ɪ d r ɛ s ɪ
უმიზნო	u m i z n ɔ
უმნიშვნელო	u m n ɪ ʃ v n ɛ l ɔ
უმოქმედო	u m ɔ kʰ m ɛ d ɔ
უმოქმედობა	u m ɔ kʰ m ɛ d ɔ b ɑ
უმრავლესობა	u m r ɑ v l ɛ s ɔ b ɑ
უმტკივნეულოდ	u m tʼ kʼ i v n ɛ u l ɔ d
უმუშევრობა	u m u ʃ ɛ v r ɔ b ɑ
უმცირესი	u m t s ɪ r ɛ s ɪ
უმცირესობა	u m t s i r ɛ s ɔ b ɑ
უმცროსი	u m t s r ɔ s ɪ
უმძიმესი	u m d z ɪ m ɛ s ɪ
უმწიკვლოდ	u m t sʼ ɪ kʼ v l ɔ d
უნაკლო	u n ɑ kʼ l ɔ
უნარი	u n ɑ r i
უნდა	u n d ɑ
უნდობლად	u n d ɔ b l ɑ d
უნდობლობა	u n d ɔ b l ɔ b ɑ
უნებართვო	u n ɛ b ɑ r tʰ v ɔ
უნივერსალური	u n i v ɛ r s ɑ l u r i
უნიკალური	u n ɪ kʼ ɑ l u r ɪ
უნიკალურობა	u n ɪ kʼ ɑ l u r ɔ b ɑ
უპასუხო	u pʼ ɑ s u x ɔ
უპატრონო	u pʼ ɑ tʼ r ɔ n ɔ
უპირატესობა	u pʼ i r ɑ tʼ ɛ s ɔ b ɑ
უპირველესად	u pʼ ɪ r v ɛ l ɛ s ɑ d
უპირობო	u pʼ i r ɔ b ɔ
უპირობოდ	u pʼ ɪ r ɔ b ɔ d
უპრეცედენტო	u pʼ r ɛ t s ɛ n d ɛ n tʼ ɔ
ურემი	u r ɛ m i
ურთიერთობა	u r tʰ i ɛ r tʰ ɔ b ɑ
ურყევად	u r qʼ ɛ v ɑ d
ურყევი	u r qʼ ɛ v i
ურცხვად	u r t s χ v ɑ d
ურწმუნო	u r t sʼ m u n ɔ
უსაზღვროდ	u s ɑ z ʁ v r ɔ d
უსამართლოდ	u s ɑ m ɑ r tʰ l ɔ d
უსარგებლო	u s ɑ r ɡ ɛ b l ɔ
უსაფრთხო	u s ɑ pʰ r tʰ x ɔ
უსაფრთხოდ	u s ɑ pʰ r tʰ χ ɔ d
უსაფრთხოება	u s ɑ pʰ r tʰ χ ɔ ɛ b ɑ
უსახელო	u s ɑ χ ɛ l ɔ
უსიამოვნება	u s ɪ ɑ m ɔ v n ɛ b ɑ
უსიამოვნო	u s ɪ ɑ m ɔ v n ɔ
უსინათლო	u s ɪ n ɑ tʰ l ɔ
უსიტყვო	u s i tʼ qʼ v ɔ
უსიტყვოდ	u s ɪ tʼ qʼ v ɔ d
უსმენს	u s m ɛ n s
უსურვებს	u s u r v ɛ b s
უტვინო	u tʼ v ɪ n ɔ
უტყუარი	u tʼ qʼ u ɑ r ɪ
უუნარო	u u n ɑ r ɔ
უფალი	u pʰ ɑ l i
უფასო	u pʰ ɑ s ɔ
უფასოდ	u pʰ ɑ s ɔ d
უფლება	u pʰ l ɛ b ɑ
უფლებამოსილი	u pʰ l ɛ b ɑ m ɔ s ɪ l ɪ
უფრო	u pʰ r ɔ
უფროსი	u pʰ r ɔ s i
უღირსი	u ʁ ɪ r s ɪ
უყვარს	u qʼ v ɑ r s
უშედეგო	u ʃ ɛ d ɛ ɡ ɔ
უშედეგოდ	u ʃ ɛ d ɛ ɡ ɔ d
უშეცდომოდ	u ʃ ɛ t s d ɔ m ɔ d
უშვებს	u ʃ v ɛ b s
უშინაარსო	u ʃ ɪ n ɑ ɑ r s ɔ
უშუალო	u ʃ u ɑ l ɔ
უშუალოდ	u ʃ u ɑ l ɔ d
უჩვეულო	u t ʃ v ɛ u l ɔ
უჩვეულოდ	u t ʃ v ɛ u l ɔ d
უცვლელად	u t s v l ɛ l ɑ d
უცნაურად	u t s n ɑ u r ɑ d
უცნაური	u t s n ɑ u r ɪ
უცნაურობა	u t s n ɑ u r ɔ b ɑ
უცოდველი	u t s ɔ d v ɛ l ɪ
უცხოური	u t s χ ɔ u r ɪ
უძველესი	u d z v ɛ l ɛ s ɪ
უძილობა	u d z ɪ l ɔ b ɑ
უძრავი	u d z r ɑ v i
უწიგნური	u t sʼ ɪ ɡ n u r ɪ
უწყება	u t sʼ qʼ ɛ b ɑ
უწყებრივი	u t sʼ qʼ ɛ b r ɪ v ɪ
უწყვეტად	u t sʼ qʼ v ɛ tʼ ɑ d
უჭკუო	u t ʃʼ kʼ u ɔ
უხერხულად	u χ ɛ r χ u l ɑ d
უხერხული	u χ ɛ r χ u l ɪ
უხეშად	u x ɛ ʃ ɑ d
უხვად	u x v ɑ d
უხვი	u x v i
ფავორიტი	pʰ ɑ v ɔ r ɪ tʼ ɪ
ფავორიტიზმი	pʰ ɑ v ɔ r ɪ tʼ ɪ z m ɪ
ფალსიფიკაცია	pʰ ɑ l s ɪ pʰ ɪ kʼ ɑ t s ɪ ɑ
ფანქარი	pʰ ɑ n kʰ ɑ r i
ფანჯარა	pʰ ɑ n d ʒ ɑ r ɑ
ფარდა	pʰ ɑ r d ɑ
ფართო	pʰ ɑ r tʰ ɔ
ფართობი	pʰ ɑ r tʰ ɔ b i
ფართოდ	pʰ ɑ r tʰ ɔ d
ფარულად	pʰ ɑ r u l ɑ d
ფარული	pʰ ɑ r u l ɪ
ფარში	pʰ ɑ r ʃ ɪ
ფასეული	pʰ ɑ s ɛ u l ɪ
ფაფა	pʰ ɑ pʰ ɑ
ფაქტი	pʰ ɑ kʰ tʼ i
ფაქტიურად	pʰ ɑ kʰ tʼ i u r ɑ d
ფაქტობრივად	pʰ ɑ kʰ tʼ ɔ b r ɪ v ɑ d
ფაქტობრივი	pʰ ɑ kʰ tʼ ɔ b r i v i
ფაქტორი	pʰ ɑ kʰ tʼ ɔ r ɪ
ფაციფუცი	pʰ ɑ t s ɪ pʰ u t s ɪ
ფედერალური	pʰ ɛ d ɛ r ɑ l u r ɪ
ფედერაცია	pʰ ɛ d ɛ r ɑ t s ɪ ɑ
ფედერაციამ	pʰ ɛ d ɛ r ɑ t s ɪ ɑ m
ფედერაციას	pʰ ɛ d ɛ r ɑ t s ɪ ɑ s
ფეთქებადი	pʰ ɛ tʰ kʰ ɛ b ɑ d ɪ
ფემინისტი	pʰ ɛ m ɪ n ɪ s tʼ ɪ
ფენა	pʰ ɛ n ɑ
ფენომენი	pʰ ɛ n ɔ m ɛ n ɪ
ფერდობი	pʰ ɛ r d ɔ b ɪ
ფერმა	pʰ ɛ r m ɑ
ფერმერი	pʰ ɛ r m ɛ r ɪ
ფერფლი	pʰ ɛ r pʰ l i
ფერწერა	pʰ ɛ r t sʼ ɛ r ɑ
ფეხბურთი	pʰ ɛ x b u r tʰ i
ფეხი	pʰ ɛ x i
ფეხმძიმე	pʰ ɛ x m d z i m ɛ
ფეხსაცმელი	pʰ ɛ x s ɑ t s m ɛ l i
ფეხშიშველი	pʰ ɛ χ ʃ ɪ ʃ v ɛ l ɪ
ფიზიკურად	pʰ ɪ z ɪ kʼ u r ɑ d
ფიზიკური	pʰ i z i kʼ u r i
ფილა	pʰ ɪ l ɑ
ფილადელფია	pʰ ɪ l ɑ d ɛ l pʰ ɪ ɑ
ფილე	pʰ ɪ l ɛ
ფილოლოგი	pʰ ɪ l ɔ l ɔ ɡ ɪ
ფილოსოფია	pʰ ɪ l ɔ s ɔ pʰ ɪ ɑ
ფილტრი	pʰ ɪ l tʼ r ɪ
ფინალი	pʰ ɪ n ɑ l ɪ
ფინალისტი	pʰ ɪ n ɑ l ɪ s tʼ ɪ
ფინანსისტი	pʰ ɪ n ɑ n s ɪ s tʼ ɪ
ფინანსურად	pʰ ɪ n ɑ n s u r ɑ d
ფინანსური	pʰ i n ɑ n s u r i
ფინეთი	pʰ i n ɛ tʰ i
ფირმა	pʰ ɪ r m ɑ
ფიფქია	pʰ i pʰ kʰ i ɑ
ფიქრიანი	pʰ i kʰ r i ɑ n i
ფიცი	pʰ i t s i
ფლაგმანი	pʰ l ɑ ɡ m ɑ n ɪ
ფლობს	pʰ l ɔ b s
ფოკუსი	pʰ ɔ kʼ u s ɪ
ფოლი	pʰ ɔ l i
ფორმა	pʰ ɔ r m ɑ
ფორმალურად	pʰ ɔ r m ɑ l u r ɑ d
ფორმალური	pʰ ɔ r m ɑ l u r i
ფორმატი	pʰ ɔ r m ɑ tʼ ɪ
ფორმიანი	pʰ ɔ r m ɪ ɑ n ɪ
ფორმულა	pʰ ɔ r m u l ɑ
ფორმულირება	pʰ ɔ r m u l ɪ r ɛ b ɑ
ფოტო	pʰ ɔ tʼ ɔ
ფოტოგენური	pʰ ɔ tʼ ɔ ɡ ɛ n u r ɪ
ფოტოგრაფი	pʰ ɔ tʼ ɔ ɡ r ɑ pʰ ɪ
ფოტოგრაფიული	pʰ ɔ tʼ ɔ ɡ r ɑ pʰ ɪ u l ɪ
ფრაგმენტული	pʰ r ɑ ɡ m ɛ n tʼ u l ɪ
ფრაზა	pʰ r ɑ z ɑ
ფრანი	pʰ r ɑ n i
ფრაქცია	pʰ r ɑ kʰ t s ɪ ɑ
ფრეგატი	pʰ r ɛ ɡ ɑ tʼ ɪ
ფრესკა	pʰ r ɛ s kʼ ɑ
ფრთიანი	pʰ r tʰ i ɑ n i
ფრთხილი	pʰ r tʰ x i l i
ფრიად	pʰ r ɪ ɑ d
ფსიქიატრიული	pʰ s ɪ kʰ ɪ ɑ tʼ r ɪ u l ɪ
ფსიქოლოგია	pʰ s ɪ kʰ ɔ l ɔ ɡ ɪ ɑ
ფსიქოლოგიურად	pʰ s ɪ kʰ ɔ l ɔ ɡ ɪ u r ɑ d
ფსიქოლოგიური	pʰ s i kʰ ɔ l ɔ ɡ i u r i
ფულადი	pʰ u l ɑ d ɪ
ფუნთუშა	pʰ u n tʰ u ʃ ɑ
ფუნტი	pʰ u n tʼ ɪ
ფუნქცია	pʰ u n kʰ t s i ɑ
ფურცელი	pʰ u r t s ɛ l i
ფხვნილი	pʰ x v n i l i
ფხიზლად	pʰ χ ɪ z l ɑ d
