աա	ɑ ɑ
պատանդ	p ɑ t ɑ n d
պատառ	p ɑ t ɑ r
պատասխան	p ɑ t ɑ s χ ɑ n
պատասխանատու	p ɑ t ɑ s χ ɑ n ɑ t u
պատասխանատվությամբ	p ɑ t ɑ s χ ɑ n ɑ t v u tʰ j ɑ m b
պատասխանատվություն	p ɑ t ɑ s χ ɑ n ɑ t v u tʰ j u n
պատարագ	p ɑ t ɑ ɾ ɑ kʰ
պատերազմ	p ɑ t ɛ ɾ ɑ z m
պատժել	p ɑ t ʒ ɛ l
պատիվ	p ɑ t i v
պատկանել	p ɑ t k ɑ n ɛ l
պատկառանք	p ɑ t k ɑ r ɑ ŋ kʰ
պատկառելի	p ɑ t k ɑ r ɛ l i
պատկեր	p ɑ t k ɛ ɾ
պատկերասրահ	p ɑ t k ɛ ɾ ɑ s ə ɾ ɑ h
պատկերել	p ɑ t k ɛ ɾ ɛ l
պատճառ	p ɑ t t͡ʃ ɑ r
պատմական	p ɑ t m ɑ k ɑ n
պատմել	p ɑ t m ɛ l
պատշգամբ	p ɑ t ə ʃ ɡ ɑ m b
պատուհան	p ɑ t u h ɑ n
պատվաստել	p ɑ t v ɑ s t ɛ l
պատվեր	p ɑ t v ɛ ɾ
պատվիրել	p ɑ t v i ɾ ɛ l
պատվոգիր	p ɑ t v ɔ ɡ i ɾ
պատրաստակամ	p ɑ t ɾ ɑ s t ɑ k ɑ m
պատրաստել	p ɑ t ɾ ɑ s t ɛ l
պատրաստվել	p ɑ t ɾ ɑ s t v ɛ l
պարան	p ɑ ɾ ɑ n
պարարտ	p ɑ ɾ ɑ ɾ t
պարարտանյութ	p ɑ ɾ ɑ ɾ t ɑ n j u tʰ
պարգեւ	p ɑ ɾ kʰ ɛ v
պարել	p ɑ ɾ ɛ l
պարզ	p ɑ ɾ z
պարզաբանում	p ɑ ɾ z ɑ b ɑ n u m
պարզապես	p ɑ ɾ z ɑ p ɛ s
պարզունակ	p ɑ ɾ z u n ɑ k
պարկ	p ɑ ɾ k
պարկեշտ	p ɑ ɾ k ɛ ʃ t
պարույր	p ɑ ɾ u j ɾ
պարսկական	p ɑ ɾ s k ɑ k ɑ n
պարսք	p ɑ ɾ s kʰ
պարտիա	p ɑ ɾ t j ɑ
պարտիզան	p a ɾ t i z a n
պարտություն	p ɑ ɾ t u tʰ j u n
պարտվել	p ɑ ɾ t v ɛ l
պեկ	p ɛ k
պես	p ɛ s
պետ	p ɛ t
պետական	p ɛ t ɑ k ɑ n
պետերբուրգ	p ɛ t ɛ ɾ b u ɾ ɡ
պետություն	p ɛ t u tʰ j u n
պետք	p ɛ t kʰ
պինդ	p i n d
պիվա	p i v ɑ
պիրենեյան	p i ɾ ɛ n ɛ j ɑ n
պիցցա	p i t͡sʰː ɑ
պլաստիկ	p l ɑ s t i k
պլենար	p l ɛ n a ɾ
պնդել	p ə n d ɛ l
պոզիտիվ	p ɔ z i t i v
պոկել	p ɔ k ɛ l
պոկեր	p o k ɛ ɾ
պող	p ɔ ʁ
պողոս	p ɔ ʁ ɔ s
պողոտա	p ɔ ʁ ɔ t ɑ
պոչ	p ɔ t͡ʃʰ
պոպուլիստ	p ɔ p u l i s t
պոռոտախոս	p ɔ r ɔ t ɑ χ ɔ s
պորտ	p ɔ ɾ t
պորտուգալացի	p ɔ ɾ t u ɡ ɑ l ɑ t͡sʰ i
պորտուգալիա	p ɔ ɾ t u ɡ ɑ l j ɑ
պուճուր	p u t͡ʃ u ɾ
պտղատու	p ə t ʁ ɑ t u
պտույտ	p ə t u j t
պրակտիկ	p ɾ ɑ k t i k
պրիմիտիվ	p ɾ i m i t i v
պրոցես	p ɾ ɔ t͡sʰ ɛ s
պրոֆեսիոնալ	p ɾ ɔ f ɛ s i ɔ n ɑ l
պրոֆեսոր	p ɾ ɔ f ɛ s ɔ ɾ
ջազ	d͡ʒ ɑ z
ջահել	d͡ʒ ɑ h ɛ l
ջահուկյան	d͡ʒ ɑ h u k j ɑ n
ջան	d͡ʒ ɑ n
ջանասիրաբար	d͡ʒ ɑ n ɑ s i ɾ ɑ b ɑ ɾ
ջանք	d͡ʒ ɑ ŋ kʰ
ջերմ	d͡ʒ ɛ ɾ m
ջերմաստիճան	d͡ʒ ɛ ɾ m ɑ s t i t͡ʃ ɑ n
ջերմություն	d ʒ ɛ ɾ m u t sʰ j u n
ջերմուկ	d͡ʒ ɛ ɾ m u k
ջիլ	d͡ʒ i l
ջիմ	d͡ʒ i m
ջինս	d͡ʒ i n s
ջնջել	d͡ʒ ə n d͡ʒ ɛ l
ջորջիա	d͡ʒ o ɾ d͡ʒ i a
ջուր	d͡ʒ u ɾ
ջրածնային	d ʒ ə ɾ ɑ t s n ɑ j i n
ջրատար	d͡ʒ ə ɾ ɑ t ɑ ɾ
ջրի	d͡ʒ ə ɾ i
ջրհեղեղ	d͡ʒ ə ɾ h ɛ ʁ ɛ ʁ
ջրվեժ	d͡ʒ ə ɾ v ɛ ʒ
ռադիոկայան	r ɑ d i ɔ k ɑ j ɑ n
ռազմական	r ɑ z m ɑ k ɑ n
ռազմավարական	r ɑ z m ɑ v ɑ ɾ ɑ k ɑ n
ռազմավարություն	r ɑ z m ɑ v ɑ ɾ u tʰ j u n
ռակ	r ɑ k
ռացիոնալ	r ɑ t͡sʰ i ɔ n ɑ l
ռաֆայել	r ɑ f ɑ j ɛ l
ռեալ	r ɛ ɑ l
ռեկտոր	r ɛ k t ɔ ɾ
ռեյտինգ	r ɛ j t i ŋ ɡ
ռեպ	r ɛ p
ռեսուրս	r ɛ s u ɾ s
ռեստորան	r ɛ s t o ɾ ɑ n
ռեֆորմ	r ɛ f ɔ ɾ m
ռինգ	r i n ɡ
ռիչարդ	r i t͡ʃʰ ɑ ɾ d
ռիսկ	r i s k
ռոբերտ	r ɔ b ɛ ɾ t
ռոման	r o m ɑ n
ռոն	r ɔ n
ռուբեն	r u b ɛ n
ռուբլի	r u b l i
ռումբ	r u m b
ռումինիա	r u m i n ɪ̯ ɑ
ռուս	r u s
ռուսաստան	r u s ɑ s t ɑ n
ռուսերեն	r u s ɛ ɾ ɛ n
սա	s ɑ
սադրանք	s ɑ d ɾ ɑ ŋ kʰ
սաթենիկ	s ɑ tʰ ɛ n i k
սալաթ	s ɑ l ɑ tʰ
սալվադոր	s ɑ l v ɑ d ɔ ɾ
սակայն	s ɑ k ɑ j n
սակավաթիվ	s ɑ k ɑ v ɑ tʰ i v
սահակ	s ɑ h ɑ k
սահակյան	s ɑ h ɑ k j ɑ n
սահել	s ɑ h ɛ l
սահման	s ɑ h m ɑ n
սահմանադրական	s ɑ h m ɑ n ɑ d ɾ ɑ k ɑ n
սահմանադրություն	s ɑ h m ɑ n ɑ d ə ɾ u tʰ j u n
սահմանապահ	s ɑ h m ɑ n ɑ p ɑ h
սահմանափակ	s ɑ h m ɑ n ɑ pʰ ɑ k
սահմանափակել	s ɑ h m ɑ n ɑ pʰ ɑ k ɛ l
սահմանափակում	s ɑ h m ɑ n ɑ pʰ ɑ k u m
սահմանափակվել	s ɑ h m ɑ n ɑ pʰ ɑ k v ɛ l
սահմանել	s ɑ h m ɑ n ɛ l
սահմանվել	s ɑ h m ɑ n v ɛ l
սաղ	s ɑ ʁ
սաղմ	s ɑ ʁ m
սաղմոս	s ɑ ʁ m ɔ s
սամարիա	s ɑ m ɑ ɾ j ɑ
սամվել	s ɑ m v ɛ l
սայթաքել	s ɑ j tʰ ɑ kʰ ɛ l
սայլակ	s ɑ j l ɑ k
սան	s ɑ n
սանսկրիտ	s ɑ n s k ɾ i t
սանրվածք	s ɑ n ə ɾ v ɑ t s kʰ
սաունա	s ɑ u n ɑ
սառը	s ɑ r ə
սառն	s ɑ r ə n
սառնարան	s ɑ r n ɑ ɾ ɑ n
սաստիկ	s ɑ s t i k
սատարել	s ɑ t ɑ ɾ ɛ l
սատուրն	s ɑ t u ɾ n
սար	s ɑ ɾ
սարգիս	s ɑ ɾ kʰ i s
սարգսյան	s ɑ ɾ kʰ ə s j ɑ n
սարդոստայն	s ɑ ɾ d ɔ s t ɑ j n
սարկավագ	s ɑ ɾ k ɑ v ɑ ɡ
սարոյան	s ɑ ɾ ɔ j ɑ n
սարսափ	s ɑ ɾ s ɑ pʰ
սարսափազդու	s ɑ ɾ s ɑ pʰ ɑ z d u
սարսափահար	s ɑ ɾ s ɑ pʰ ɑ h ɑ ɾ
սարսափելի	s ɑ ɾ s ɑ pʰ ɛ l i
սարսափեցում	s ɑ ɾ s ɑ pʰ ɛ t͡sʰ u m
սարսափեցուցիչ	s ɑ ɾ s ɑ pʰ ɛ t͡sʰ u t͡sʰ i t͡ʃʰ
սարսափում	s ɑ ɾ s ɑ pʰ u m
սարք	s ɑ ɾ kʰ
սարքավորում	s ɑ ɾ kʰ ɑ v ɔ ɾ u m
սարքել	s ɑ ɾ kʰ ɛ l
սաֆարյան	s ɑ f ɑ ɾ j ɑ n
սդ	s ə d ə
սեդա	s ɛ d ɑ
սեդրակ	s ɛ tʰ ɾ ɑ k
սեզոն	s ɛ z ɔ n
սեխ	s ɛ χ
սեղան	s ɛ ʁ ɑ n
սեմ	s ɛ m
սեյրան	s ɛ j ɾ ɑ n
սեն	s ɛ n
սենյակ	s ɛ n j ɑ k
սեպ	s ɛ p
սեռ	s ɛ r
սեռական	s ɛ r ɑ k ɑ n
սեր	s ɛ ɾ
սերգեյ	s ɛ ɾ ɡ ɛ j
սերժ	s ɛ ɾ ʒ
սերունդ	s ɛ ɾ u n d
սեւ	s ɛ v
սեւակ	s ɛ v ɑ k
սեւամորթ	s ɛ v ɑ m ɔ ɾ tʰ
սեփականություն	s ɛ pʰ ɑ k ɑ n u tʰ j u n
սիգ	s i ɡ
սիգարետ	s i ɡ ɑ ɾ ɛ t
սիմոն	s i m ɔ n
սիմոնյան	s i m ɔ n j ɑ n
սին	s i n
սինգապուր	s i ŋ ɡ ɑ p u ɾ
սիստեմ	s i s t ɛ m
սիրած	s i ɾ ɑ t͡s
սիրահար	s i ɾ ɑ h ɑ ɾ
սիրել	s i ɾ ɛ l
սիրելի	s i ɾ ɛ l i
սիրիա	s i ɾ j ɑ
սիրող	s i ɾ ɔ ʁ
սիրում	s i ɾ u m
սիրուն	s i ɾ u n
սիրտ	s i ɾ t
սիրտն	s i ɾ t n
սխալ	s ə χ ɑ l
սխտոր	s ə χ t ɔ ɾ
սկաներ	s k ɑ n ɛ ɾ
սկզբնաղբյուր	s k ə z b n ɑ χ p j u ɾ
սկզբունք	s k ə z b u n kʰ
սկզբունքայնություն	s k ə z b u ŋ kʰ ɑ j n u tʰ j u n
սմարթֆոն	s m ɑ ɾ tʰ f ɔ n
սմբատ	s ə m b ɑ t
սնանկացում	s ə n ɑ ŋ k ɑ t͡sʰ u m
սննդամթերք	s ə n ə n d ɑ m ə tʰ ɛ ɾ kʰ
սնունդ	s ə n u n d
սոխ	s ɔ χ
սոկրատես	s o k ɾ ɑ t ɛ s
սողուն	s o ʁ u n
սոնա	s ɔ n ɑ
սոուս	s ɔ u s
սոսինձ	s ɔ s i n d͡z
սոսկ	s ɔ s k
սով	s ɔ v
սովալլուկ	s ɔ v ɑ lː u k
սոված	s ɔ v ɑ t͡s
սովոր	s ɔ v ɔ ɾ
սովորաբար	s o v o ɾ ɑ b ɑ ɾ
սովորել	s ɔ v ɔ ɾ ɛ l
սովորեցնել	s ɔ v ɔ ɾ ɛ t͡sʰ n ɛ l
սովորություն	s ɔ v ɔ ɾ u tʰ j u n
սովորույթ	s o v o ɾ u j tʰ
սոցիալական	s ɔ t͡sʰ j ɑ l ɑ k ɑ n
սոցիալիզմ	s o t sʰ j ɑ l i z m
սոցիալիստական	s ɔ t͡sʰ j ɑ l i s t ɑ k ɑ n
սոցիոլոգիա	s o t sʰ j o l o ɡ j ɑ
սուգ	s u kʰ
սուլել	s u l ɛ l
սուլթան	s u l tʰ ɑ n
սույն	s u j n
սուշի	s u ʃ i
սուպերմարկետ	s u p ɛ ɾ m ɑ ɾ k ɛ t
սուտ	s u t
սուր	s u ɾ
սուրբ	s u ɾ pʰ
սուրճ	s u ɾ t͡ʃ
սոֆիա	s ɔ f i ɑ
սպանդանոց	s p ɑ n d ɑ n ɔ t͡sʰ
սպանել	s p ɑ n ɛ l
սպանվել	s p ɑ n v ɛ l
սպառազինության	s p ɑ r ɑ z i n u tʰ j ɑ n
սպառազինություն	s p ɑ r ɑ z i n u tʰ j u n
սպառազինությունների	s p ɑ r ɑ z i n u tʰ j u nː ɛ ɾ i
սպասք	s p ɑ s kʰ
սպարապետ	s p ɑ ɾ ɑ p ɛ t
սպը	s ə p ə ə
սպիտակամորթ	s p i t ɑ k ɑ m ɔ ɾ tʰ
ստադիոն	s t ɑ d i ɔ n
ստալին	s t ɑ l i n
ստատուս	s t ɑ t u s
ստել	s ə t ɛ l
ստեղնաշար	s t ɛ ʁ n ɑ ʃ ɑ ɾ
ստեփան	s t ɛ pʰ ɑ n
ստեփանակերտ	s t ɛ pʰ ɑ n ɑ k ɛ ɾ t
ստիպել	s t i p ɛ l
ստոկհոլմ	s t ɔ k h ɔ l m
ստորգետնյա	s t ɔ ɾ ɡ ɛ t n j ɑ
ստորին	s t o ɾ i n
ստուգել	s t u ɡ ɛ l
ստուգում	s t u ɡ u m
ստվեր	s t ə v ɛ ɾ
ստրիպտիզ	s t ɾ i p t i z
սրահ	s ə ɾ ɑ h
սրամտել	s ə ɾ ɑ m ə t ɛ l
սրանք	s ə ɾ ɑ ŋ kʰ
սրբազան	s ə ɾ pʰ ɑ z ɑ n
սրբուհի	s ə ɾ pʰ u h i
սրել	s ə ɾ ɛ l
սրընթաց	s ə ɾ ə n tʰ ɑ t͡sʰ
սրճարան	s ə ɾ t͡ʃ ɑ ɾ ɑ n
սրտային	s ə ɾ t ɑ j i n
սրտանց	s ə ɾ t ɑ n t͡sʰ
սցենար	s t͡sʰ ɛ n ɑ ɾ
սցենարիստ	s t͡sʰ ɛ n ɑ ɾ i s t
վագոն	v ɑ ɡ o n
վագր	v ɑ ɡ ə ɾ
վազգեն	v ɑ z ɡ ɛ n
վազել	v ɑ z ɛ l
վաթսուն	v ɑ t sʰ u n
վախ	v ɑ χ
վախենալ	v ɑ χ ɛ n ɑ l
վախեցած	v ɑ χ ɛ t͡sʰ ɑ t͡s
վախճան	v ɑ χ t͡ʃ ɑ n
վախճանվել	v ɑ χ t͡ʃ ɑ n v ɛ l
վահե	v ɑ h ɛ
վահրամ	v ɑ h ɾ ɑ m
վաղարշակ	v ɑ ʁ ɑ ɾ ʃ ɑ k
վաճառել	v ɑ t͡ʃ ɑ r ɛ l
վաճառք	v ɑ t͡ʃ ɑ r kʰ
վայելել	v ɑ j ɛ l ɛ l
վայելուչ	v ɑ j ɛ l u t͡ʃʰ
վայելք	v ɑ j ɛ l kʰ
վայր	v ɑ j ɾ
վայրենի	v ɑ j ɾ ɛ n i
վայրի	v ɑ j ɾ i
վայք	v ɑ ɪ̯ kʰ
վան	v ɑ n
վանական	v ɑ n ɑ k ɑ n
վանաձոր	v ɑ n ɑ d͡z ɔ ɾ
վանկարկում	v ɑ ŋ k ɑ ɾ k u m
վանո	v ɑ n ɔ
վանք	v ɑ ŋ kʰ
վաշինգտոն	v ɑ ʃ i ŋ ɡ t ɔ n
վառ	v ɑ r
վառել	v ɑ r ɛ l
վառելիք	v ɑ r ɛ l i kʰ
վասակ	v ɑ s ɑ k
վավերագրական	v ɑ v ɛ ɾ ɑ ɡ ə ɾ ɑ k ɑ n
վավերացում	v ɑ v ɛ ɾ ɑ t͡sʰ u m
վատ	v ɑ t
վատիկան	v ɑ t i k ɑ n
վարակ	v ɑ ɾ ɑ k
վարանում	v ɑ ɾ ɑ n u m
վարդագույն	v ɑ ɾ tʰ ɑ ɡ u j n
վարդանյան	v ɑ ɾ tʰ ɑ n j ɑ n
վարել	v ɑ ɾ ɛ l
վարժ	v ɑ ɾ ʒ
վարիչ	v ɑ ɾ i t͡ʃʰ
վարկած	v ɑ ɾ k ɑ t͡s
վարկանիշ	v ɑ ɾ k ɑ n i ʃ
վարունգ	v ɑ ɾ u ŋ ɡ
վարպետ	v ɑ ɾ p ɛ t
վարվել	v ɑ ɾ v ɛ l
վարք	v ɑ ɾ kʰ
վեհ	v ɛ h
վեճ	v ɛ t͡ʃ
վեմ	v ɛ m
վեպ	v ɛ p
վերադարձ	v ɛ ɾ ɑ d ɑ ɾ t͡sʰ
վերակառուցում	v ɛ ɾ ɑ k ɑ r u t͡sʰ u m
վերահաս	v ɛ ɾ ɑ h ɑ s
վերարտադրություն	v ɛ ɾ ɑ ɾ t ɑ d ɾ u t͡sʰ j u n
վերաքննիչ	v ɛ ɾ ɑ kʰ ə nː i t͡ʃʰ
վերելակ	v ɛ ɾ ɛ l ɑ k
վերլուծական	v ɛ ɾ l u t͡s ɑ k ɑ n
վերլուծել	v ɛ ɾ l u t͡s ɛ l
վերլուծություն	v ɛ ɾ l u t͡s u tʰ j u n
վերմուտ	v ɛ ɾ m u t
վերջ	v ɛ ɾ t͡ʃʰ
վերջաբան	v ɛ ɾ t͡ʃʰ ɑ b ɑ n
վերջակետ	v ɛ ɾ t͡ʃʰ ɑ k ɛ t
վերջապես	v ɛ ɾ t͡ʃʰ ɑ p ɛ s
վերջացնել	v ɛ ɾ t͡ʃʰ ɑ t͡sʰ n ɛ l
վերջերս	v ɛ ɾ t͡ʃʰ ɛ ɾ ə s
վերջի	v ɛ ɾ t͡ʃʰ i
վերջին	v ɛ ɾ t͡ʃʰ i n
վերջնագիր	v ɛ ɾ t͡ʃʰ n ɑ ɡ i ɾ
վերջնական	v ɛ ɾ t͡ʃʰ n ɑ k ɑ n
վերջնականորեն	v ɛ ɾ t͡ʃʰ n ɑ k ɑ n ɔ ɾ ɛ n
վերցնել	v ɛ ɾ t sʰ n ɛ l
վեց	v ɛ t sʰ
վեցերորդ	v ɛ t sʰ ɛ ɾ o ɾ tʰ
վիգեն	v i ɡ ɛ n
վիեննա	v i j ɛ nː ɑ
վիզա	v i z ɑ
վիճակ	v i t͡ʃ ɑ k
վիճակագրական	v i t͡ʃ ɑ k ɑ ɡ ɾ ɑ k ɑ n
վիճակագրություն	v i t͡ʃ ɑ k ɑ ɡ ɾ u tʰ j u n
վիճել	v i t͡ʃ ɛ l
վիշտ	v i ʃ t
վիրաբուժություն	v i ɾ ɑ b u ʒ u tʰ j u n
վիրակապ	v i ɾ ɑ k ɑ p
վիրուս	v i ɾ u s
վիքի	v i kʰ i
վլադիմիր	v l ɑ d i m i ɾ
վլադիվոստոկ	v l ɑ d i v o s t o k
վկա	v ə k ɑ
վկայական	v ə k ɑ j ɑ k ɑ n
վկայություն	v ə k ɑ j u t sʰ j u n
վճարել	v ə t͡ʃ ɑ ɾ ɛ l
վճիտ	v ə t͡ʃ i t
վճռել	v ə t͡ʃ r ɛ l
վնաս	v ə n ɑ s
վնասել	v ə n ɑ s ɛ l
վնասված	v ə n ɑ s v ɑ t͡s
վնասվածք	v ə n ɑ s v ɑ t͡s kʰ
վնասվել	v ə n ɑ s v ɛ l
վստահ	v ə s t ɑ h
վստահելի	v ə s t ɑ h ɛ l i
վտանգ	v ə t ɑ ŋ ɡ
վտանգավոր	v ə t ɑ ŋ ɡ ɑ v ɔ ɾ
վտանգել	v ə t ɑ ŋ ɡ ɛ l
վտանգում	v ə t ɑ ŋ ɡ u m
վրա	v ə ɾ ɑ
վրան	v ə ɾ ɑ n
վրաստան	v ə ɾ ɑ s t ɑ n
վրաց	v ə ɾ ɑ t͡sʰ
վրացական	v ə ɾ ɑ t sʰ ɑ k ɑ n
վրացերեն	v ə ɾ ɑ t͡sʰ ɛ ɾ ɛ n
վրացի	v ə ɾ ɑ t͡sʰ i
վրեժ	v ə ɾ ɛ ʒ
վրթանես	v ə ɾ tʰ ɑ n ɛ s
վրիպակ	v ə ɾ i p ɑ k
վրձին	v ə ɾ t͡sʰ i n
տագնապ	t ɑ ɡ n ɑ p
տալ	t ɑ l
տախտակ	t ɑ χ t ɑ k
տակ	t ɑ k
տաղանդ	t ɑ ʁ ɑ n d
տաճար	t ɑ t͡ʃ ɑ ɾ
տանել	t ɑ n ɛ l
տանը	t ɑ n ə
տանիք	t ɑ n i kʰ
տանձ	t ɑ n d͡z
տանջել	t ɑ n d ʒ ɛ l
տանտեր	t ɑ n t ɛ ɾ
տաշտ	t ɑ ʃ t
տապ	t ɑ p
տապալել	t ɑ p ɑ l ɛ l
տաջիկ	t ɑ d͡ʒ i k
տառապանք	t ɑ r ɑ p ɑ ŋ kʰ
տառապել	t ɑ r ɑ p ɛ l
տառատեսակ	t ɑ r ɑ t ɛ s ɑ k
տաս	t ɑ s
տասը	t ɑ s ə
տասնամյակ	t ɑ s n ɑ m j ɑ k
տասներկու	t ɑ s n e ɹ k u
տասնհինգ	t ɑ s n ə h i n ɡ
տասնմեկ	t ɑ s n ə m ɛ k
տասնչորս	t ɑ s n ə t ʃʰ o ɹ s
տավուշ	t ɑ v u ʃ
տատիկ	t ɑ t i k
տար	t ɑ ɾ
տարա	t ɑ ɾ ɑ
տարադրամի	t ɑ ɾ ɑ d ə ɾ ɑ m i
տարածել	t ɑ ɾ ɑ t s ɛ l
տարածություն	t ɑ ɾ ɑ t͡s u tʰ j u n
տարածված	t ɑ ɾ ɑ t͡s v ɑ t͡s
տարածք	t ɑ ɾ ɑ t͡s kʰ
տարատեսակ	t ɑ ɾ ɑ t ɛ s ɑ k
տարբեր	t ɑ ɾ b ɛ ɾ
տարբերակ	t ɑ ɾ b ɛ ɾ ɑ k
տարբերել	t ɑ ɾ b ɛ ɾ ɛ l
տարբերություն	t ɑ ɾ b ɛ ɾ u tʰ j u n
տարելից	t ɑ ɾ ɛ l i t͡sʰ
տարեց	t ɑ ɾ ɛ t͡sʰ
տարի	t ɑ ɾ i
տարկետում	t ɑ ɾ k ɛ t u m
տարվել	t ɑ ɾ v ɛ l
տարրական	t ɑ ɾ ɾ ɑ k ɑ n
տարօրինակ	t ɑ ɾ o ɾ i n ɑ k
տափակ	t ɑ pʰ ɑ k
տափաստանային	t ɑ pʰ ɑ s t ɑ n ɑ j i n
տաք	t ɑ kʰ
տգեղ	t ə ɡ ɛ ʁ
տգետ	t ə ɡ ɛ t
տեխնիկա	t ɛ χ n i k ɑ
տեխնոլոգիա	t ɛ χ n ɔ l ɔ ɡ j ɑ
տեխնոլոգիաներ	t ɛ χ n ɔ l ɔ ɡ j ɑ n ɛ ɾ
տեղադրում	t ɛ ʁ ɑ d ɾ u m
տեղակալ	t ɛ ʁ ɑ k ɑ l
տեղափոխել	t ɛ ʁ ɑ pʰ ɔ χ ɛ l
տեղեկանալ	t ɛ ʁ ɛ k ɑ n ɑ l
տեղեկատու	t ɛ ʁ ɛ k ɑ t u
տեղեկատվական	t ɛ ʁ ɛ k ɑ t v ɑ k ɑ n
տեղեկատվություն	t ɛ ʁ ɛ k ɑ t v u tʰ j u n
տեղեկացնել	t ɛ ʁ ɛ k ɑ t sʰ n ɛ l
տեղեկություն	t ɛ ʁ ɛ k u tʰ j u n
տեղի	t ɛ ʁ i
տեղյակ	t ɛ ʁ j ɑ k
տեսախցիկ	t ɛ s ɑ χ ə t͡sʰ i k
տեսակ	t ɛ s ɑ k
տեսական	t ɛ s ɑ k ɑ n
տեսահոլովակ	t ɛ s ɑ h ɔ l ɔ v ɑ k
տեսանյութ	t ɛ s ɑ n j u tʰ
տեսարան	t ɛ s ɑ ɾ ɑ n
տեսարժան	t ɛ s ɑ ɾ ʒ ɑ n
տեսնել	t ɛ s n ɛ l
տեսություն	t ɛ s u tʰ j u n
տեսուչ	t ɛ s u t͡ʃʰ
տեսք	t ɛ s kʰ
տեր	t ɛ ɾ
տերություն	t ɛ ɾ u t͡sʰ j u n
տեւել	t ɛ v ɛ l
տեքստ	t ɛ kʰ s t
տի	t i
տիբեր	t i b ɛ ɾ
տիկ	t i k
տիկին	t i k i n
տխուր	t ə χ u ɾ
տխրություն	t ə χ ɾ u t͡sʰ j u n
տկար	t ə k ɑ ɾ
տղա	t ə ʁ ɑ
տղամարդ	t ə ʁ ɑ m ɑ ɾ tʰ
տղամարդիկ	t ə ʁ ɑ m ɑ ɾ tʰ i k
տնակ	t ə n ɑ k
տնական	t ə n ɑ k ɑ n
տնային	t ə n ɑ j i n
տնտեսագետ	t ə n t ɛ s ɑ ɡ ɛ t
տնտեսագիտական	t ə n t ɛ s ɑ ɡ i t ɑ k ɑ n
տնտեսական	t ə n t ɛ s ɑ k ɑ n
տնտեսություն	t ə n t ɛ s u t͡sʰ j u n
տնօրեն	t ə n ɔ ɾ ɛ n
տոկոս	t ɔ k ɔ s
տող	t ɔ ʁ
տոն	t ɔ n
տոնածառ	t o n ɑ t s ɑ r
տոնել	t ɔ n ɛ l
տորթ	t ɔ ɾ tʰ
տուգանք	t u ɡ ɑ ŋ kʰ
տույժ	t u j ʒ
տուն	t u n
տուր	t u ɾ
տուրին	t u ɾ i n
տուրք	t u ɾ kʰ
տուփ	t u pʰ
տպագրություն	t ə p ɑ ɡ ɾ u tʰ j u n
տպավորիչ	t ə p ɑ v ɔ ɾ i t͡ʃʰ
տպավորված	t ə p ɑ v ɔ ɾ v ɑ t͡s
տպավորվել	t ə p ɑ v ɔ ɾ v ɛ l
տպարան	t ə p ɑ ɾ ɑ n
տվյալ	t ə v j ɑ l
տտ	t ə t ə
տրակտոր	t ɾ ɑ k t o ɾ
տրամաբանություն	t ɾ ɑ m ɑ b ɑ n u tʰ j u n
տրամադրել	t ɾ ɑ m ɑ d ɾ ɛ l
տրանսգենդեր	t ɾ ɑ n s ɡ ɛ n d ɛ ɾ
տրապիզոն	t ɾ ɑ p i z ɔ n
րոպե	ɾ ɔ p ɛ
ցած	t sʰ ɑ t s
ցածր	t͡sʰ ɑ t͡s ə ɾ
ցածրահասակ	t sʰ ɑ t s ɾ ɑ h ɑ s ɑ k
ցայգ	t͡sʰ ɑ j ɡ
ցանել	t͡sʰ ɑ n ɛ l
ցանկ	t͡sʰ ɑ ŋ k
ցանկանալ	t sʰ ɑ n k ɑ n ɑ l
ցանկություն	t͡sʰ ɑ ŋ k u tʰ j u n
ցանց	t͡sʰ ɑ n t͡sʰ
ցավ	t͡sʰ ɑ v
ցավակցություն	t͡sʰ ɑ v ɑ k t͡sʰ u tʰ j u n
ցավել	t͡sʰ ɑ v ɛ l
ցավոք	t sʰ ɑ v o kʰ
ցարական	t sʰ ɑ ɾ ɑ k ɑ n
ցեղասպանություն	t͡sʰ ɛ ʁ ɑ s p ɑ n u tʰ j u n
ցերեկ	t͡sʰ ɛ ɾ ɛ k
ցիկլոն	t sʰ i k l o n
ցխինվալ	t sʰ χ i n v ɑ l
ցնծալ	t sʰ ə n t s ɑ l
ցնծություն	t͡sʰ ə n t͡s u tʰ j u n
ցոլակ	t͡sʰ ɔ l ɑ k
ցորեն	t͡sʰ ɔ ɾ ɛ n
ցուրտ	t͡sʰ u ɾ t
ցուցակ	t͡sʰ u t͡sʰ ɑ k
ցուցակում	t͡sʰ u t͡sʰ ɑ k u m
ցուցահանդես	t͡sʰ u t͡sʰ ɑ h ɑ n d ɛ s
ցուցանակ	t͡sʰ u t͡sʰ ɑ n ɑ k
ցուցասրահ	t sʰ u t sʰ ɑ s ə ɾ ɑ h
ցուցարար	t͡sʰ u t͡sʰ ɑ ɾ ɑ ɾ
փաթեթավորում	pʰ ɑ tʰ ɛ tʰ ɑ v ɔ ɾ u m
փալաս	pʰ ɑ l ɑ s
փախստական	pʰ ɑ χ s t ɑ k ɑ n
փակ	pʰ ɑ k
փակել	pʰ ɑ k ɛ l
փամփուշտ	pʰ ɑ m pʰ u ʃ t
փայլ	pʰ ɑ j l
փայլակ	pʰ ɑ j l ɑ k
